ID_Cliente|ID_Documento|Fecha_Registro|Segmento|Tipo_Cliente|Nombre1|Nombre2|Apellido_Paterno|Apellido_Materno|Fecha_Nacimiento|Email|Telefono|Nombre_Contacto|Tipo_Documento|Numero_Documento|Direccion|Direccion_2|Distrito|Provincia|Departamento|Pais|'Fuente|Fecha_Inicio|Fecha_Fin|Codigo_Producto|Producto|Modelo|IMEI|IMEI2|Contrato|Estado|Codigo_Transaccion|Sucursal|Codigo_Sucursal|Exonerado
55760|DOC156|2024-03-03|Premium|Persona Natural|Lori||Bailey|Smith|1995-10-01|crosszachary@gmail.com|938-405-2147|Alicia Brewer|RUC|28209550862|143 Jason Shoals|Suite 577|Jenniferchester|Lima|Lima|Perú|Tienda|2024-03-13|2024-10-17|PRD346|Smartwatch|XPhone|423824039154289||C-202208|Activo|TXN529|East Joshua|087|No
65330|DOC347|2023-12-19|Standard|Empresa|Renee||Logan|Brown|1987-11-20|andersonbrandon@hotmail.com|622.671.5224x93697|Todd Cochran|DNI|93520795|029 Daniel Burgs Apt. 520||North Luisstad|Lima|Lima|Perú|Online|2023-04-06|2023-11-12|PRD401|Tablet|XPhone|316823929065718||C-202204|Activo|TXN745|East Austinbury|012|Sí
30071|DOC751|2023-11-16|Standard|Empresa|Rebecca|Clifford|Morrow|Todd|1999-04-24|leslie44@hansen.biz|+1-499-163-8768x234|Thomas Wu|DNI|52213992|551 Garcia Ports Suite 223|Apt. 676|South Dianaborough|Lima|Lima|Perú|Online|2022-12-08|2025-02-12|PRD846|Laptop|TabMax|685234627747644|419652864443291|C-202203|Activo|TXN840|Benjaminton|017|Sí
58759|DOC254|2023-08-06|Standard|Empresa|Brad||Cook|Roberts|1975-09-28|cbaldwin@powell-griffin.com|+1-538-025-7543|Robin Foster|RUC|4853005700|539 William Corner|Apt. 571|New Amanda|Lima|Lima|Perú|Tienda|2023-06-30|2024-07-28|PRD231|Tablet|ZBook|631534205194442||C-202204|Activo|TXN975|New Abigailfort|034|Sí
35875|DOC403|2023-10-25|Basic|Empresa|Melissa||Thomas|Coleman|1955-08-10|gsmith@curtis.com|001-910-300-0433|David Wells|RUC|62524777604|9459 Scott Alley||Moralesfurt|Lima|Lima|Perú|Online|2022-09-23|2023-12-04|PRD310|Tablet|ZPhone|43762848231501||C-202202|Pendiente|TXN809|Clarkborough|094|No
96333|DOC913|2023-12-24|Standard|Persona Natural|Holly||Ross|Joseph|1986-12-10|sarah19@green.net|781-831-5708|Luis Best|DNI|26824706|247 David Courts Apt. 374||Lake Drewton|Lima|Lima|Perú|Tienda|2023-11-23|2025-07-08|PRD788|Tablet|ZPhone|217397658120588|291424660252661|C-202211|Pendiente|TXN218|Montoyaland|022|No
83571|DOC814|2023-05-24|Basic|Empresa|Brandon||Young|Simpson|1984-02-14|ghill@gmail.com|2629256099|Julie Anderson|RUC|6277954612|465 Dodson Turnpike|Apt. 954|Port John|Lima|Lima|Perú|Online|2024-06-16|2025-02-20|PRD909|Laptop|WatchMax|96121702410110||C-202202|Activo|TXN176|Alexanderborough|047|Sí
42708|DOC641|2024-08-20|Basic|Empresa|Audrey|Steve|Moore|Edwards|1988-04-04|jaderodriguez@reese-sanders.net|001-798-898-8046x86739|Timothy Owens|RUC|6533338212|9926 Sullivan Hollow Apt. 285||Port Brianberg|Lima|Lima|Perú|Online|2024-06-09|2025-02-11|PRD527|Tablet|WatchMax|85996569199907|984518150680702|C-202210|Activo|TXN325|Stevensonfort|076|Sí
18960|DOC544|2023-09-24|Standard|Persona Natural|Jessica||Little|Hayes|2003-01-29|dbowman@yahoo.com|884.774.8754x84424|Lisa Romero|DNI|87549198|7027 Frey Freeway Suite 397|Apt. 399|Hodgesstad|Lima|Lima|Perú|Tienda|2023-12-09|2024-12-15|PRD224|Smartwatch|ZBook|608315374964176|177903133270737|C-202206|Activo|TXN539|South Bryan|065|No
10570|DOC570|2022-11-14|Premium|Empresa|Kelly||Kim|Walter|1985-09-27|stewarttroy@osborn-austin.com|(809)192-2574x2226|Maria Cunningham|RUC|50896634687|73651 Brendan Mills Apt. 836|Apt. 334|North Tanner|Lima|Lima|Perú|Tienda|2023-04-18|2023-06-11|PRD468|Smartwatch|ZPhone|172668154623043|632135247872543|C-202204|Activo|TXN835|Martintown|014|No
33436|DOC233|2023-05-18|Premium|Persona Natural|Holly|Martha|Jackson|Carroll|2005-08-06|nicolecarter@gmail.com|001-912-376-8335|Dawn Campbell|DNI|53030049|6830 Pittman Trail Apt. 849|Suite 978|Patriciachester|Lima|Lima|Perú|Tienda|2024-07-02|2025-05-08|PRD352|Smartwatch|ZPhone|951554929033318||C-202203|Activo|TXN862|Lake Martin|060|No
14356|DOC642|2022-12-29|Standard|Empresa|Rodney||Ramirez|Barber|1968-01-31|iking@gmail.com|+1-438-047-5768x459|Justin Jones III|DNI|16192571|7329 Edwards Common Apt. 766|Suite 625|Crossfort|Lima|Lima|Perú|Online|2024-05-04|2024-05-15|PRD148|Laptop|XPhone|844630131333182||C-202203|Activo|TXN146|South Williamland|025|No
28513|DOC137|2024-02-16|Premium|Persona Natural|Christopher|Donna|Cain|Vang|1957-10-05|jhart@ray-mason.com|001-765-494-2684x102|Dakota Perez|DNI|54295894|08819 Gary Alley||East Stephaniehaven|Lima|Lima|Perú|Tienda|2024-05-15|2024-08-05|PRD940|Smartwatch|TabPro|277190482073922|173362046196851|C-202206|Pendiente|TXN387|Charlesmouth|010|No
68019|DOC534|2023-11-14|Basic|Empresa|Kirk|Susan|Williams|Potts|1963-08-22|bryanryan@hodge.com|100.284.9791x846|Dr. Mary Washington|RUC|4594670178|845 Le Route|Apt. 198|Sarahmouth|Lima|Lima|Perú|Tienda|2024-04-06|2024-10-28|PRD371|Tablet|WatchMax|290696877831917||C-202211|Activo|TXN547|Harrismouth|090|No
99750|DOC605|2023-11-28|Basic|Empresa|Christy||Ho|Donaldson|2003-02-15|savagejohn@gmail.com|225.302.8070|Robert Nolan|DNI|40913188|95342 Bailey Valley Suite 229|Suite 615|New Johnnystad|Lima|Lima|Perú|Tienda|2022-12-25|2023-09-01|PRD495|Smartphone|ZPhone|817349377489889||C-202201|Pendiente|TXN311|New Rebecca|058|No
29695|DOC115|2023-12-16|Premium|Empresa|Jasmine|April|Carr|Dougherty|1981-11-26|pwalker@hotmail.com|(932)191-4877x492|Benjamin Barker|RUC|10843368488|2374 Anderson Junctions||Tammyburgh|Lima|Lima|Perú|Tienda|2023-05-23|2024-05-29|PRD377|Smartphone|TabMax|900099069953340|704894450832274|C-202206|Pendiente|TXN755|Lake Keithburgh|092|Sí
42869|DOC298|2022-11-04|Premium|Persona Natural|Allen|Sharon|Cook|Moore|1963-03-12|denise30@reid.com|(957)635-3398x2473|Jessica Watkins|DNI|91983181|89961 Darrell Mews Suite 683|Suite 530|Leeburgh|Lima|Lima|Perú|Tienda|2024-01-19|2024-07-23|PRD839|Smartphone|ZBook|925407657148099|315771030449739|C-202202|Pendiente|TXN883|East Jonathanbury|026|Sí
